,peak_velocity,start_timestamp,end_x,eye,start_x,start_y,duration,length,end_y,end_timestamp
0,348.0,3546454.0,945.5,R,1093.2,588.3,27.0,4.23,579.7,3546480.0
1,67.0,3546732.0,916.7,R,938.0,567.2,10.0,0.62,570.2,3546741.0
2,135.0,3547938.0,931.2,R,894.6,556.1,22.0,1.12,569.4,3547959.0
3,58.0,3548128.0,919.2,R,933.2,562.3,7.0,0.43,556.8,3548134.0
4,289.0,3549328.0,955.8,R,891.8,531.5,36.0,3.07,611.9,3549363.0
5,223.0,3549647.0,902.2,R,965.8,597.0,22.0,2.3,551.3,3549668.0
6,96.0,3550213.0,940.4,R,927.9,549.4,26.0,1.12,514.6,3550238.0
7,47.0,3550438.0,930.7,R,942.4,524.6,7.0,0.34,526.8,3550444.0
8,100.0,3551238.0,914.6,R,895.8,585.3,21.0,0.69,599.5,3551258.0
9,158.0,3551425.0,910.2,R,901.1,600.2,33.0,2.06,667.0,3551457.0
10,168.0,3551589.0,869.5,R,913.0,655.3,22.0,1.87,701.1,3551610.0
11,272.0,3552081.0,950.5,R,884.5,673.9,26.0,3.55,575.8,3552106.0
12,110.0,3552287.0,908.1,R,944.2,560.7,16.0,1.04,558.6,3552302.0
13,112.0,3552706.0,945.6,R,921.0,556.5,20.0,0.71,553.4,3552725.0
14,91.0,3553031.0,937.4,R,933.5,575.3,17.0,0.97,606.9,3553047.0
15,145.0,3553318.0,959.6,R,938.2,590.5,20.0,1.53,636.2,3553337.0
16,142.0,3553819.0,929.4,R,947.9,644.6,30.0,2.78,555.2,3553848.0
17,87.0,3554083.0,896.0,R,925.1,567.3,12.0,0.84,564.4,3554094.0
18,84.0,3554368.0,928.3,R,899.6,558.0,13.0,0.83,562.0,3554380.0
19,2932.0,3554597.0,997.1,R,921.5,572.1,2088.0,3.17,496.5,3556684.0
20,634.0,3556822.0,923.4,R,1029.5,481.6,45.0,5.19,619.3,3556866.0
21,334.0,3557020.0,992.8,R,971.1,678.4,26.0,2.68,593.1,3557045.0
22,86.0,3557228.0,967.4,R,984.6,595.2,17.0,0.51,599.6,3557244.0
23,145.0,3557834.0,975.5,R,929.6,548.3,20.0,1.39,562.7,3557853.0
24,93.0,3558072.0,924.8,R,949.4,556.9,13.0,0.89,539.2,3558084.0
25,349.0,3558470.0,1030.5,R,916.6,515.2,36.0,3.29,527.9,3558505.0
26,250.0,3558644.0,943.2,R,1034.8,507.7,24.0,2.64,498.5,3558667.0
27,84.0,3558868.0,927.8,R,957.7,505.9,13.0,0.86,509.0,3558880.0
28,2324.0,3560399.0,1011.6,R,943.1,501.0,154.0,1.97,497.9,3560552.0
29,324.0,3560702.0,892.5,R,985.3,489.3,29.0,2.71,471.2,3560730.0
30,122.0,3560889.0,925.9,R,911.2,492.8,18.0,1.36,535.1,3560906.0
31,135.0,3561268.0,927.5,R,962.8,531.4,22.0,1.02,535.2,3561289.0
32,127.0,3561440.0,969.3,R,927.8,533.9,18.0,1.23,524.2,3561457.0
33,50.0,3561837.0,935.5,R,948.2,537.9,7.0,0.37,535.8,3561843.0
34,132.0,3562486.0,920.6,R,909.8,509.8,26.0,0.86,536.1,3562511.0
35,72.0,3563358.0,899.6,R,910.4,517.2,13.0,0.66,536.3,3563370.0
36,182.0,3563549.0,954.9,R,900.0,527.8,23.0,1.66,544.7,3563571.0
37,151.0,3563755.0,895.5,R,947.9,532.9,22.0,1.56,519.3,3563776.0
38,1806.0,3564142.0,936.7,R,889.9,503.4,170.0,1.47,523.1,3564311.0
39,216.0,3564480.0,861.3,R,938.9,499.2,22.0,2.23,504.3,3564501.0
40,103.0,3564698.0,920.4,R,888.6,505.4,16.0,0.96,515.7,3564713.0
41,305.0,3566185.0,1022.0,R,906.2,490.9,26.0,3.33,500.9,3566210.0
42,352.0,3566403.0,920.4,R,1017.5,505.5,31.0,2.87,482.4,3566433.0
43,112.0,3566653.0,926.3,R,912.0,484.2,20.0,0.83,508.0,3566672.0
44,93.0,3567022.0,882.5,R,913.4,527.5,15.0,0.93,517.9,3567036.0
45,110.0,3567208.0,911.8,R,880.6,522.7,20.0,0.89,522.1,3567227.0
46,150.0,3567827.0,938.5,R,899.2,534.8,22.0,1.21,520.4,3567848.0
47,84.0,3568036.0,902.5,R,930.6,508.0,12.0,0.88,519.9,3568047.0
48,93.0,3568276.0,894.0,R,913.5,516.3,20.0,0.56,518.6,3568295.0
